字段名,总样本数,有效样本,缺失数,缺失率%,零值数,零值率%,异常值数,异常值率%,均值,中位数,标准差,最小值,最大值
$ind_one,72900,72645,255,0.35,0,0.0,0,0.0,801462.7,801720.0,347.0236,801010.0,801980.0
$change,72900,72644,256,0.35,2095,2.88,1641,2.26,0.0009,0.0,0.0223,-0.2002,0.2004
$close,72900,72645,255,0.35,0,0.0,4335,5.97,433.6682,129.23,1092.4963,2.26,13341.02
$circ_mv,72900,72645,255,0.35,0,0.0,4454,6.13,15428148.0,8387783.0,25255044.0,528140.6,274230800.0
$total_mv,72900,72645,255,0.35,0,0.0,5555,7.65,20448182.0,9586578.0,35887504.0,2484766.2,300635420.0
$total_share,72900,72645,255,0.35,0,0.0,4732,6.51,1438015.2,477077.6,3995047.5,18472.314,35640624.0
$amount,72900,72645,255,0.35,0,0.0,3936,5.42,1409089700.0,694566400.0,2268313600.0,39187420.0,45044000000.0
P($$oth_eqt_tools_p_shr_q),72900,4741,68159,93.5,593,12.51,0,0.0,37677070000.0,20000000000.0,35227288000.0,0.0,134614010000.0
P($$total_ncl_q),72900,60878,12022,16.49,0,0.0,5954,9.78,43126090000.0,8214075400.0,93679070000.0,-4846464500.0,681183700000.0
P($$total_hldr_eqy_exc_min_int_q),72900,72785,115,0.16,0,0.0,5346,7.34,158175280000.0,41733880000.0,432301970000.0,1824485800.0,4168426700000.0
P($$total_assets_q),72900,72785,115,0.16,0,0.0,8914,12.25,1331778300000.0,109862220000.0,5423988500000.0,3133065000.0,52813420000000.0
P($$total_liab_q),72900,72785,115,0.16,0,0.0,9406,12.92,1157296400000.0,57803588000.0,5006336500000.0,322878660.0,48619640000000.0
P($$money_cap_q),72900,66953,5947,8.16,0,0.0,5359,8.0,38546543000.0,12432565000.0,72014004000.0,140717970.0,754730000000.0
P($$revenue_q),72900,72785,115,0.16,0,0.0,5238,7.2,77811370000.0,20363616000.0,200272460000.0,67439980.0,3074562000000.0
P($$n_income_attr_p_q),72900,72785,115,0.16,0,0.0,6681,9.18,9120422000.0,2335632100.0,26509780000.0,-49478430000.0,365863000000.0
P($$oper_cost_q),72900,60831,12069,16.56,0,0.0,4212,6.92,59417470000.0,13289137000.0,173024660000.0,20113274.0,2598935000000.0
P($$basic_eps_q),72900,72738,162,0.22,0,0.0,3563,4.9,1.0956,0.52,2.8396,-4.82,68.64
P($$ebit_q),72900,58745,14155,19.42,0,0.0,4187,7.13,6743335000.0,2392984600.0,16846180000.0,-34192503000.0,262529020000.0
P($$n_cashflow_act_q),72900,72785,115,0.16,0,0.0,10380,14.26,21761163000.0,2116958000.0,132192420000.0,-768830000000.0,2034128100000.0
P($$depr_fa_coga_dpba_q),72900,15734,57166,78.42,0,0.0,1102,7.0,4609794000.0,845000900.0,15147616000.0,3669146.0,210990000000.0
P($$amort_intang_assets_q),72900,14731,58169,79.79,0,0.0,1666,11.31,413074750.0,89175000.0,916811970.0,120550.66,9036288000.0
P($$lt_amort_deferred_exp_q),72900,13808,59092,81.06,0,0.0,1148,8.31,117546264.0,27722862.0,330484960.0,-16000000.0,5934000000.0
P($$c_pay_acq_const_fiolta_q),72900,72685,215,0.29,0,0.0,5917,8.14,5228825000.0,1130201500.0,14703178000.0,-47133896.0,302651000000.0
P($$st_borr_q),72900,56761,16139,22.14,84,0.15,5257,9.26,12760385000.0,2502008600.0,24919038000.0,0.0,223507200000.0
P($$lt_borr_q),72900,52372,20528,28.16,0,0.0,5792,11.06,32595702000.0,5830288400.0,73248480000.0,339851.0,547241600000.0
P($$non_cur_liab_due_1y_q),72900,60235,12665,17.37,0,0.0,4465,7.41,9044059000.0,1812081200.0,18607710000.0,109537.23,146045570000.0
P($$bond_payable_q),72900,34190,38710,53.1,972,2.84,4839,14.15,184270700000.0,12500000000.0,479500930000.0,0.0,3158142000000.0
PTTM($$revenue_q),72900,72785,115,0.16,0,0.0,5059,6.95,141904630000.0,39337910000.0,320344750000.0,419167940.0,3108815000000.0
PTTM($$n_income_attr_p_q),72900,72785,115,0.16,0,0.0,6680,9.18,15424635000.0,4110987000.0,41412580000.0,-59550960000.0,366746000000.0
PTTM($$n_cashflow_act_q),72900,72785,115,0.16,0,0.0,7771,10.68,36103393000.0,6202415000.0,139335780000.0,-333654000000.0,2321966200000.0
